"act_type","final_result","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","id1"
"1",1.0,13.0,528.0,216.0,56.0,58.0,85.0,41.0,29.0,131.0,0.0,847.0
"2",1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0
"3",1.0,19.0,36.0,3.0,1.0,0.0,2.0,6.0,2.0,35.0,0.0,847.0
"4",1.0,32.0,119.0,33.0,12.0,15.0,21.0,15.0,8.0,36.0,0.0,847.0
"5",1.0,1.0,2.0,23.0,26.0,0.0,27.0,30.0,26.0,0.0,0.0,847.0
"6",1.0,6.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,16.0,0.0,847.0
"7",1.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,847.0
"9",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0
"12",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0
"13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0
"14",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0
"19",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0
"1",0.0,0.0,790.0,523.0,495.0,102.0,161.0,299.0,209.0,62.0,0.0,848.0
"2",0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0
"3",0.0,1.0,70.0,30.0,45.0,2.0,3.0,23.0,4.0,0.0,0.0,848.0
"4",0.0,5.0,99.0,73.0,71.0,20.0,17.0,32.0,22.0,10.0,0.0,848.0
"5",0.0,0.0,1.0,14.0,17.0,0.0,12.0,12.0,14.0,0.0,0.0,848.0
"6",0.0,2.0,32.0,14.0,22.0,0.0,1.0,5.0,1.0,0.0,0.0,848.0
"7",0.0,1.0,12.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,848.0
"9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0
"12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0
"13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0
"14",0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0
"19",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0
"1",1.0,4.0,119.0,119.0,117.0,95.0,56.0,33.0,112.0,229.0,0.0,849.0
"2",1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0
"3",1.0,4.0,12.0,8.0,4.0,0.0,0.0,4.0,2.0,10.0,0.0,849.0
"4",1.0,6.0,60.0,91.0,57.0,57.0,35.0,29.0,27.0,149.0,0.0,849.0
"5",1.0,0.0,15.0,0.0,17.0,13.0,0.0,24.0,0.0,0.0,0.0,849.0
"6",1.0,2.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,9.0,0.0,849.0
"7",1.0,1.0,7.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,849.0
"9",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0
"12",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0
"13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0
"14",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0
