"act_type","final_result","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","id1"
"1",0.0,12.0,20.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3",0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4",0.0,2.0,12.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"5",0.0,0.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"6",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"14",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"19",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1",1.0,3.0,54.0,41.0,393.0,540.0,99.0,181.0,146.0,127.0,0.0,1.0
"2",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"3",1.0,0.0,4.0,3.0,2.0,2.0,0.0,4.0,0.0,6.0,0.0,1.0
"4",1.0,2.0,16.0,53.0,83.0,210.0,67.0,263.0,92.0,45.0,0.0,1.0
"5",1.0,0.0,0.0,25.0,16.0,5.0,25.0,14.0,0.0,0.0,0.0,1.0
"6",1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,18.0,0.0,1.0
"7",1.0,0.0,4.0,4.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
"9",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"12",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"13",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"14",1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"19",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"1",0.0,0.0,86.0,123.0,76.0,60.0,12.0,0.0,19.0,60.0,0.0,2.0
"2",0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"3",0.0,3.0,26.0,71.0,54.0,58.0,94.0,25.0,47.0,64.0,0.0,2.0
"4",0.0,5.0,52.0,111.0,97.0,86.0,81.0,22.0,47.0,55.0,0.0,2.0
"5",0.0,0.0,0.0,28.0,20.0,0.0,14.0,16.0,0.0,0.0,0.0,2.0
"6",0.0,1.0,25.0,66.0,63.0,74.0,60.0,15.0,19.0,35.0,0.0,2.0
"7",0.0,2.0,8.0,6.0,1.0,1.0,3.0,0.0,8.0,10.0,0.0,2.0
"9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"14",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
"19",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"1",1.0,119.0,497.0,714.0,725.0,311.0,508.0,288.0,451.0,348.0,0.0,3.0
"2",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"3",1.0,44.0,88.0,28.0,33.0,6.0,4.0,13.0,9.0,9.0,0.0,3.0
"4",1.0,103.0,163.0,248.0,224.0,123.0,133.0,76.0,153.0,118.0,0.0,3.0
"5",1.0,0.0,0.0,16.0,12.0,0.0,27.0,2.0,12.0,0.0,0.0,3.0
"6",1.0,35.0,101.0,32.0,13.0,7.0,5.0,6.0,21.0,10.0,0.0,3.0
"7",1.0,25.0,10.0,3.0,0.0,5.0,2.0,3.0,3.0,5.0,0.0,3.0
"9",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"12",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"13",1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0
"14",1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"19",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
"1",1.0,7.0,73.0,88.0,75.0,3.0,0.0,20.0,0.0,8.0,0.0,4.0
"2",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"3",1.0,2.0,18.0,27.0,10.0,2.0,3.0,16.0,0.0,23.0,0.0,4.0
"4",1.0,8.0,32.0,41.0,37.0,17.0,4.0,16.0,4.0,25.0,0.0,4.0
"5",1.0,0.0,2.0,14.0,13.0,2.0,0.0,13.0,12.0,0.0,0.0,4.0
"6",1.0,1.0,9.0,12.0,4.0,0.0,1.0,9.0,0.0,11.0,0.0,4.0
"7",1.0,3.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
"9",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"12",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"14",1.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"19",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"1",0.0,0.0,110.0,62.0,9.0,0.0,2.0,14.0,7.0,6.0,0.0,5.0
"2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"3",0.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0
"4",0.0,0.0,39.0,17.0,5.0,0.0,2.0,8.0,3.0,6.0,0.0,5.0
"5",0.0,0.0,1.0,15.0,14.0,0.0,12.0,27.0,0.0,0.0,0.0,5.0
"6",0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
"7",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"14",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"19",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
"1",1.0,0.0,29.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
"2",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
"3",1.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
"4",1.0,0.0,8.0,36.0,6.0,0.0,2.0,1.0,9.0,1.0,0.0,6.0
"5",1.0,0.0,0.0,13.0,13.0,0.0,13.0,12.0,13.0,0.0,0.0,6.0
"6",1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0
"7",1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
"9",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
"12",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
"13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
"14",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
"19",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
"1",0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"3",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"4",0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"7",0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"14",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"19",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"1",1.0,0.0,44.0,16.0,29.0,14.0,22.0,16.0,2.0,9.0,0.0,8.0
"2",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
"3",1.0,2.0,14.0,3.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,8.0
"4",1.0,1.0,30.0,13.0,31.0,25.0,16.0,9.0,3.0,1.0,0.0,8.0
"5",1.0,0.0,1.0,15.0,14.0,24.0,24.0,14.0,0.0,0.0,0.0,8.0
"6",1.0,4.0,6.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0
"7",1.0,0.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0
"9",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
"12",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
"13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
"14",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
"19",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
"1",0.0,0.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"3",0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"4",0.0,5.0,9.0,14.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0,9.0
"5",0.0,0.0,0.0,20.0,19.0,19.0,0.0,20.0,0.0,0.0,0.0,9.0
"6",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"7",0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"14",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"19",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"1",0.0,0.0,43.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0
"2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"3",0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"4",0.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0
"5",0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"6",0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"7",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"14",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"19",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
"1",0.0,16.0,149.0,132.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,11.0
"2",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
"3",0.0,9.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0
"4",0.0,7.0,44.0,29.0,15.0,15.0,6.0,0.0,0.0,0.0,0.0,11.0
"5",0.0,0.0,0.0,14.0,12.0,13.0,3.0,0.0,0.0,0.0,0.0,11.0
"6",0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0
"7",0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0
"9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
"12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
"13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
"14",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
"19",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
"1",1.0,0.0,21.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,12.0
"2",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
"3",1.0,0.0,14.0,3.0,9.0,0.0,12.0,2.0,0.0,5.0,0.0,12.0
"4",1.0,2.0,12.0,14.0,13.0,3.0,25.0,7.0,2.0,6.0,0.0,12.0
"5",1.0,0.0,0.0,14.0,13.0,0.0,24.0,14.0,2.0,0.0,0.0,12.0
"6",1.0,0.0,6.0,1.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,12.0
"7",1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,12.0
"9",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
"12",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
"13",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
"14",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
"19",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
"1",0.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
"2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
"3",0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
"4",0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
