,TimePeriod,Act1,Act2,Act3,Act4,Act5,Act6,Act7,Act8,Act9,Act10,Act11,Act12
0,T0,13.0,2.0,19.0,32.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
1,T1,528.0,0.0,36.0,119.0,2.0,15.0,8.0,0.0,0.0,0.0,0.0,1.0
2,T2,216.0,0.0,3.0,33.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,T3,56.0,0.0,1.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,T4,58.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,T5,85.0,0.0,2.0,21.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,T6,41.0,0.0,6.0,15.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,T7,29.0,0.0,2.0,8.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,T8,131.0,0.0,35.0,36.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0
9,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,T0,0.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
11,T1,790.0,2.0,70.0,99.0,1.0,32.0,12.0,0.0,0.0,0.0,4.0,0.0
12,T2,523.0,0.0,30.0,73.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
13,T3,495.0,0.0,45.0,71.0,17.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0
14,T4,102.0,0.0,2.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,T5,161.0,0.0,3.0,17.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
16,T6,299.0,0.0,23.0,32.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
17,T7,209.0,0.0,4.0,22.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
18,T8,62.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,T0,4.0,2.0,4.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
21,T1,119.0,0.0,12.0,60.0,15.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
22,T2,119.0,0.0,8.0,91.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
23,T3,117.0,0.0,4.0,57.0,17.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
24,T4,95.0,0.0,0.0,57.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,T5,56.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,T6,33.0,0.0,4.0,29.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
27,T7,112.0,0.0,2.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
28,T8,229.0,0.0,10.0,149.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0
29,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,T0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
31,T1,83.0,0.0,15.0,34.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0
32,T2,24.0,0.0,4.0,14.0,17.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
33,T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,T5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,T0,295.0,2.0,62.0,83.0,0.0,65.0,15.0,0.0,0.0,2.0,2.0,0.0
41,T1,1045.0,0.0,124.0,140.0,20.0,52.0,10.0,0.0,0.0,3.0,10.0,0.0
42,T2,577.0,0.0,81.0,144.0,4.0,34.0,22.0,0.0,0.0,7.0,2.0,0.0
43,T3,238.0,0.0,25.0,62.0,18.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0
44,T4,201.0,0.0,4.0,24.0,21.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
45,T5,57.0,0.0,31.0,43.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
