,TimePeriod,Act1,Act2,Act3,Act4,Act5,Act6,Act7,Act8,Act9,Act10,Act11,Act12
0,T0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,T1,20.0,0.0,5.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,T2,36.0,0.0,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,T3,19.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,T5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,T0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,T1,54.0,1.0,4.0,16.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
12,T2,41.0,0.0,3.0,53.0,25.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
13,T3,393.0,0.0,2.0,83.0,16.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0
14,T4,540.0,0.0,2.0,210.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,T5,99.0,0.0,0.0,67.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
16,T6,181.0,0.0,4.0,263.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17,T7,146.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,T8,127.0,0.0,6.0,45.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
19,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,T0,0.0,1.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
21,T1,86.0,2.0,26.0,52.0,0.0,25.0,8.0,0.0,0.0,0.0,1.0,0.0
22,T2,123.0,0.0,71.0,111.0,28.0,66.0,6.0,0.0,0.0,0.0,0.0,0.0
23,T3,76.0,0.0,54.0,97.0,20.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0
24,T4,60.0,0.0,58.0,86.0,0.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0
25,T5,12.0,0.0,94.0,81.0,14.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0
26,T6,0.0,0.0,25.0,22.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
