,TimePeriod,Act1,Act2,Act3,Act4,Act5,Act6,Act7,Act8,Act9,Act10,Act11,Act12
0,T0,13.0,2.0,19.0,32.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
1,T1,28.0,0.0,4.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2,T2,120.0,0.0,13.0,32.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0
3,T3,157.0,0.0,10.0,31.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
4,T4,155.0,0.0,6.0,34.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
5,T5,147.0,0.0,4.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,T6,29.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,T7,52.0,0.0,2.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,T8,37.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,T9,19.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,T10,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,T11,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,T12,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,T13,23.0,0.0,1.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,T14,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,T15,32.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,T16,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,T17,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,T18,28.0,0.0,2.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,T19,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,T20,28.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,T21,20.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,T22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,T23,10.0,0.0,3.0,8.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,T24,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,T25,21.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
26,T26,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,T27,10.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,T28,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,T29,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,T30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,T31,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,T32,22.0,0.0,27.0,16.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
33,T33,57.0,0.0,7.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
34,T34,27.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,T35,19.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,T36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,T37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,T38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,T0,0.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
41,T1,186.0,2.0,26.0,26.0,0.0,12.0,4.0,0.0,0.0,0.0,4.0,0.0
42,T2,108.0,0.0,5.0,12.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
43,T3,428.0,0.0,35.0,47.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0
44,T4,55.0,0.0,2.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
45,T5,16.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,T6,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,T7,398.0,0.0,28.0,46.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
48,T8,82.0,0.0,2.0,18.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,T9,31.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,T10,254.0,0.0,39.0,37.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0
51,T11,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,T12,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,T13,214.0,0.0,6.0,26.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
54,T14,41.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,T15,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,T16,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,T17,39.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,T18,143.0,0.0,4.0,20.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
59,T19,33.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,T20,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,T21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,T22,38.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,T23,234.0,0.0,23.0,27.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
64,T24,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,T25,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,T26,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,T27,127.0,0.0,4.0,14.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
68,T28,25.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,T29,38.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,T30,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,T31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,T32,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,T33,56.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,T34,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,T35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,T36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,T37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,T38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,T0,4.0,2.0,4.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
81,T1,34.0,0.0,8.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
82,T2,25.0,0.0,2.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
